,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
0,, , ,,,,, ,Open Space/Park in Private Property,,East Clayton,Approved,Neighbourhood Concept Plan,2003
1,, , ,,,,, ,Storm Water Ponds,,East Clayton,Approved,Neighbourhood Concept Plan,2003
2,20120723,Business Park to 10-15 u.p.a. Special Residential Chris Atkins,R12-1700,20120606,15,10,,7911-0124-00,10-15 u.p.a. Special Residential,20120810,East Clayton,Approved,Neighbourhood Concept Plan,2003
3,, , ,,25,15,UPA, ,15-25 u.p.a. (Medium-High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
4,, , ,,,,, ,Riparian Protection Area,20150611,East Clayton,Approved,Neighbourhood Concept Plan,2003
5,,,,,,,,,Institutional,,East Clayton,Approved,Neighbourhood Concept Plan,2003
6,,,,,,,,,Institutional,,East Clayton,Approved,Neighbourhood Concept Plan,2003
7,20030908,Rezone from RA to CD (B/L-12000);NCP from High Density (22-45 upa) to Medium Density (10-15 upa),R03-2589,,15,10,UPA,03-0182-00,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
8,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
9,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
10,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
11,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
12,, , ,,15,10,UPA, ,10-15 u.p.a. Special Residential,20130315,East Clayton,Approved,Neighbourhood Concept Plan,2003
13,,,,,15,10,UPA,,10-15 u.p.a. Special Residential,20130315,East Clayton,Approved,Neighbourhood Concept Plan,2003
14,,,,20130315,15,10,UPA,,10-15 u.p.a. Special Residential,20130315,East Clayton,Approved,Neighbourhood Concept Plan,2003
15,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
16,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
17,, , ,,25,15,UPA, ,15-25 u.p.a. (Medium-High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
18,20030707,"Rezone from RA to RM-30, RM-45 & RF-9C (B/L-12000); NCP from Low Density (6-10 upa) to Medium Density (10-15 upa) & High Density (22-45 upa)",R04-2180,,25,15,UPA,03-0073-00,15-25 u.p.a. (Medium-High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
19,, , ,,,,, ,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
20,, , ,,,,, ,Storm Water Ponds (100 year flood event),,East Clayton,Approved,Neighbourhood Concept Plan,2003
21,, , ,,25,15,UPA, ,15-25 u.p.a. (Medium-High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
22,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
23,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
24,20040405,Rezone from RA to RF-9C and RM-30 (B/L-12000); NCP from Low Density (6-10) to Medium Density (10-15 upa),R05-2018,,15,10,UPA,03-0312-00,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
25,20040405,Rezone from RA to RF-9C and RM-30 (B/L-12000); NCP from Low Density (6-10) to Medium Hugh Density (15-25 upa),R05-2018,,25,15,UPA,03-0312-00,15-25 u.p.a. (Medium-High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
26,,,,,,,,,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
27,,,,20111114,,,,,Special Setback and Landscaping Buffers,20170420,East Clayton,Approved,Neighbourhood Concept Plan,2003
28,,,,,,,,,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
29,, , ,,15,10,UPA, ,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
30,, , ,,15,10,UPA, ,10-15 u.p.a. (Medium Density),20111114,East Clayton,Approved,Neighbourhood Concept Plan,2003
31,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
32,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
33,,"For more detail on future land uses, see Aloha Estates Infill Area Land Use Concept, approved by Council on October 28, 2013", ,20180514,,,, ,Half Acre Residential,20171222,East Clayton,Approved,Neighbourhood Concept Plan,2003
34,20050728,Rezone from RA to RM-30 & RF-9C (B/L_12000); NCP from Low density (6-10 upa)  to Medium High Density (15-25 upa),R04-3115,,25,15,UPA,04-0175-00,15-25 u.p.a. (Medium-High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
35,, , ,,,,, ,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
36,, , ,,25,15,UPA, ,15-25 u.p.a. (Medium-High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
37,20061218,Rezone from RA to RF-9C (B/L-12000); NCP from Medium High Density (15-25 upa) & Low Density (6-10 upa) to Medium Density (10-15 upa),R06-2942,,15,10,UPA,06-0011-00,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
38,, , ,,,,, ,Neighbourhood Commercial,,East Clayton,Approved,Neighbourhood Concept Plan,2003
39,, , ,,,,, ,Storm Water Pond 5 Year Flood Event,,East Clayton,Approved,Neighbourhood Concept Plan,2003
40,20171002,Amended From Half Acre Residential to 10-15 u.p.a. (Medium Density), ,20171212,,,,7915-0051-00,10-15 u.p.a. (Medium Density),20171212,East Clayton,Approved,Neighbourhood Concept Plan,2003
41,20041129,Rezone from RA to  RF-9C( B/L-12000); NCP from Medium High Density (15-25 upa) to Medium Density (10-15 upa),R06-745,,15,10,UPA,04-0176-00,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
42,,,,,25,15,UPA,,15-25 u.p.a. (Medium-High Density),20130716,East Clayton,Approved,Neighbourhood Concept Plan,2003
43,20070626,From Open Space/Park (Vice Versa) to Low Density Vice Versa,R07-1883,,,,,7903-0104-00,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
44,,,,,,,,,Public Open Space/Park,20130716,East Clayton,Approved,Neighbourhood Concept Plan,2003
45,20070626,From Open Space/Park (Vice Versa) to Low Density Vice Versa,R07-1831,,10,6,UPA,7903-0104-00,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
46,, , ,,,,, ,Riparian Protection Area,,East Clayton,Approved,Neighbourhood Concept Plan,2003
47,, , ,,,,, ,Utility R.O.W.,,East Clayton,Approved,Neighbourhood Concept Plan,2003
48,20081124,Rezone from RA to C-5; NCP from Special Residential to Neighbourhood Commercial,R08-2477,,,,, ,Neighbourhood Commercial,20170420,East Clayton,Approved,Neighbourhood Concept Plan,2003
49,,,,20111114,,,,,Special Setback and Landscaping Buffers,20170420,East Clayton,Approved,Neighbourhood Concept Plan,2003
50,,"For more detail on future land uses, see Aloha Estates Infill Area Land Use Concept, approved by Council on October 28, 2013", ,20170419,15,10,UPA,7914-0107-00,10-15 u.p.a. (Medium Density),20170419,East Clayton,Approved,Neighbourhood Concept Plan,2003
51,, , ,,,,, ,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
52,20070625,From Urban Storm Water Pond to Medium-High Density (15-25 upa),R07-1833,,,,,7904-0262-00,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
53,20070625,From Open Space/Park (Vice Versa) to Low Density Vice Versa,R07-1883,,15,10,UPA,7092-0363-00,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
54,,,,,15,10,UPA,,10-15 u.p.a. Special Residential,,East Clayton,Approved,Neighbourhood Concept Plan,2003
55,, , ,,,,, ,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
56,, , ,,,,, ,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
57,, , ,,,,, ,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
58,, , ,,,,, ,Road Median,,East Clayton,Approved,Neighbourhood Concept Plan,2003
59,20070625,From Business Park to Special Residential (10 to 15 upa),R07-1821,,15,10,UPA,7905-0137-00,10-15 u.p.a. Special Residential,,East Clayton,Approved,Neighbourhood Concept Plan,2003
60,,,,,15,10,UPA,,10-15 u.p.a. Special Residential,,East Clayton,Approved,Neighbourhood Concept Plan,2003
61,, , ,,15,10,UPA, ,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
62,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
63,, , ,,15,10,UPA, ,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
64,, , ,,15,10,UPA, ,10-15 u.p.a. Special Residential,20130315,East Clayton,Approved,Neighbourhood Concept Plan,2003
65,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
66,, , ,,,,, ,Utility R.O.W.,20111114,East Clayton,Approved,Neighbourhood Concept Plan,2003
67,20120709,Amendment from Commercial/Residential, ,20120713,45,22,UPA, ,22-45 u.p.a. (High Density),20120713,East Clayton,Approved,Neighbourhood Concept Plan,2003
68,,,,20111114,,,,,Public Open Space/Park,20111114,East Clayton,Approved,Neighbourhood Concept Plan,2003
69,, , ,,,,, ,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
70,, , ,,15,10,UPA, ,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
71,20120723,Business Park to 15-25 u.p.a. (Medium-High Density) Chris Atkins,R12-01700,20120724,25,15,,7911-0124-00,15-25 u.p.a. (Medium-High Density),20120810,East Clayton,Approved,Neighbourhood Concept Plan,2003
72,,,,,,,,,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
73,,,,,,,,,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
74,, , ,,45,22,UPA, ,22-45 u.p.a. (High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
75,,,,,,,,,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
76,, , ,,15,10,UPA, ,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
77,20041101,Rezone from RA to RM-30 (B/L-12000); NCP from Low Density (6-10 upa) to Medium-High Density (15 to 25 upa),R04-2832,,25,15,UPA,03-0354-00,15-25 u.p.a. (Medium-High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
78,20171218,Amended from Half Acre Residential to 6-10 u.p.a. (Low Density), ,20171222,10,6,UPA,7914-0323-00,6-10 u.p.a. (Low Density),20171222,East Clayton,Approved,Neighbourhood Concept Plan,2003
79,,"For more detail on future land uses, see Aloha Estates Infill Area Land Use Concept, approved by Council on October 28, 2013", ,,,,, ,Half Acre Residential,20171212,East Clayton,Approved,Neighbourhood Concept Plan,2003
80,, , ,,,,, ,Storm Water Ponds (100 year flood event),20130716,East Clayton,Approved,Neighbourhood Concept Plan,2003
81,, , ,,15,10,UPA, ,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
82,20081124,Rezone from RA to RM-30; NCP from Low Density (6-10 upa) to Medium High Density (15-25 upa),R08-2477,,25,15,UPA, ,15-25 u.p.a. (Medium-High Density),20170420,East Clayton,Approved,Neighbourhood Concept Plan,2003
83,, , ,,,,, ,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
84,, , ,,,,, ,Neighbourhood Commercial,,East Clayton,Approved,Neighbourhood Concept Plan,2003
85,20070625,,R07-1827,,,,,7906-0255-00,Business Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
86,, , ,,,,, ,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
87,,,,,,,,,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
88,, , ,,,,, ,Road Median,,East Clayton,Approved,Neighbourhood Concept Plan,2003
89,, , ,,,,, ,Specialty Community-Oriented Commercial,20150501,East Clayton,Approved,Neighbourhood Concept Plan,2003
90,,,,,,,,,Institutional,,East Clayton,Approved,Neighbourhood Concept Plan,2003
91,, , ,,,,, ,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
92,,,,,,,,,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
93,, , ,,15,10,UPA, ,10-15 u.p.a. Special Residential,,East Clayton,Approved,Neighbourhood Concept Plan,2003
94,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
95,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
96,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
97,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
98,, , ,,15,10,UPA, ,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
99,, , ,,15,10,UPA, ,10-15 u.p.a. Special Residential,,East Clayton,Approved,Neighbourhood Concept Plan,2003
100,, , ,,15,10,UPA, ,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
101,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
102,, , ,,,,, ,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
