,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
20,,,,20120425,25,15,,,Special Residential,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
21,,,,20120425,,,,,Trail,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
22,,,,20120425,15,10,,,High Density Cluster,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
23,,,,20120425,,,,,Fish Class 15m & 30m Buffer Class B,20160927,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
24,,,,20120425,,,,,Light Industrial,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
25,,,,20120425,,,,,Light Industrial,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
26,,,,20120425,,,,,Trail,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
27,,,,20120425,45,25,,,High Density Residential,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
28,,,,20120425,,,,,Trail,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
29,,,,20120425,,,,,Park,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
30,,,,20120425,15,10,,,High Density Cluster (Green Space Transfer),20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
31,,,,20120425,15,10,,,High Density Cluster,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
32,,,,20120425,,,,,Park,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
33,,,,20120425,,,,,Landscape Buffer,,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
34,,,,20120425,10,6,,,Medium Density Cluster (Green Space Transfer),20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
35,,,,20120425,,,,,Park,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
36,,,,20120425,15,10,,,Medium Density,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
37,,,,20120425,30,15,,,Medium High Density,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
38,,,,20120425,,,,,Park,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
39,,,,20120425,30,15,,,Medium High Density,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
40,,,,20120425,,,,,Industrial Business Park,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
41,,,,20120425,,,,,Industrial Business Park,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
42,,,,20120425,15,10,,,Medium Density,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
43,,,,20120425,,,,,Pond Buffer,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
44,,,,20120425,,,,,Landscape Buffer,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
45,,,,20120425,,,,,Riparian Area,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
46,,,,20120425,10,6,,,Low Density Urban,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
47,,,,20120425,,,,,Riparian Area,,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
48,,,,20120425,,,,,Fish Class 15m & 30m Buffer Class B,20160927,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
49,,,,20120425,10,6,,,Medium Density Cluster,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
50,,,,20120425,,,,,Trail,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
51,,,,20120425,,,,,Riparian Area,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
52,,,,20120425,,,,,Riparian Area,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
53,,,,20120425,,,,,Riparian Area,,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
54,,,,20120425,,,,,Riparian Area,,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
55,,,,20120425,,,,,Trail,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
56,,,,20120425,,,,,Trail,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
57,,,,20120425,,,,,Trail,,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
58,,,,20120425,,,,,Commercial,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
59,,,,20120425,,,,,Landscape Buffer,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
60,,,,20120425,,,,,Pond Buffer,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
61,,,,20120425,,,,,Park,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
62,,,,20120425,,,,,Trail,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
63,,,,20120425,,,,,Fish Class 15m & 30m Buffer Class B,20160927,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
64,,,,20120425,,,,,Trail,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
65,,,,20120425,,,,,Pond,,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
66,,,,20120425,15,10,,,High Density Cluster,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
67,,,,20120425,,,,,Landscape Buffer,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
68,,,,20120425,,,,,Community Centre,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
69,,,,20120425,45,25,,,High Density Residential,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
70,,,,20120425,,,,,Light Industrial,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
71,,,,20120425,,,,,Park,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
72,,,,20120425,,,,,Trail,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
73,,,,20120425,15,10,,,High Density Cluster,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
74,,,,20120425,15,10,,,Medium Density,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
75,,,,20120425,,,,,Landscape Buffer,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
76,,,,20120425,,,,,Trail,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
77,,,,20120425,30,15,,,Medium High Density,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
78,,,,20120425,,,,,Landscape Buffer,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
79,,,,20120425,,,,,Pond Buffer,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
80,,,,20120425,15,10,,,Medium Density,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
81,,,,20120425,15,10,,,Medium Density,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
82,,,,20120425,,,,,Industrial Business Park,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
83,,,,20120425,,,,,Industrial Business Park,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
84,,,,20120425,,,,,Fish Class 15m & 30m Buffer Class B,20160927,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
85,,,,20120425,,,,,Riparian Area,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
86,,,,20120425,6,4,,,Low Density Cluster (Green Space Transfer),,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
87,,,,20120425,6,4,,,Low Density Cluster,,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
88,,,,20120425,,,,,Riparian Area,,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
89,,,,20120425,,,,,Riparian Area,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
90,,,,20120425,30,15,,,Medium High Density,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
91,,,,20120425,45,25,,,High Density Residential,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
92,,,,20120425,10,6,,,Low Density Urban,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
93,,,,20120425,6,4,,,Low Density Cluster,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
94,,,,20120425,,,,,Park,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
95,,,,20120425,,,,,Landscape Buffer,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
96,,,,20120425,,,,,Landscape Buffer,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
97,,,,20120425,30,15,,,Medium High Density,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
98,,,,20120425,45,25,,,High Density Residential,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
99,,,,20120425,,,,,Landscape Buffer,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
100,,,,20120425,45,25,,,High Density Residential,20120425,Anniedale-Tynehead,Approved,Neighbourhood Concept Plan,2012
